文本内容|实体关系1
The debris caused a crash on the Schuylkill and it has been closed for hours because of the mishap|{[4,10],NN},{[20,25],VBP},Cause-Effect
A fire triggered by the blasts damaged eight buildings at the plant including one that was burned down|{[24,30],NN},{[2,6],NN},Cause-Effect
These standards are under discussion and not yet published|{[26,36],NN},{[6,15],VBZ},Message-Topic
However the Barbary macaque grows a big thick coat for the winter which means they can live outside all year|{[46,50],VBP},{[20,27],DT},Component-Whole
Anderson is regarded as one of the most able and articulate members of Congress but he has a voting record that is anathema to most other congressmen in his party |{[138,149],VBP},{[157,162],DT},Member-Collection
The melt water has transported sediments into the lake |{[31,40],NN},{[50,54],DT},Entity-Destination
The review published political commentary and opinion but even more than that|{[31,41],VBP},{[4,10],NN},Component-Whole
NUS today responded to the Government's announcement of the long-awaited review of university funding|{[40,52],JJ},{[73,79],NN},Message-Topic
The handbag was locked in a glass display case |{[4,11],DT},{[34,46],NN},Content-Container
In his poem  written by the riverside near the battle-ground Mr Emerson alluded to Yon stem headstone|{[7,11],MD},{[28,37],NN},Other
The intestines have migrated into the abdomen from the umbilical cord|{[4,14],VBP},{[38,45],NN},Entity-Destination
Mechanical faults caused delays and cancellations on Wellington's suburban train services this morning|{[11,17],DT},{[36,49],DT},Cause-Effect
Caryn James a film critic for The New York Times has just completed a novel |{[70,75],NN},{[19,25],NN},Product-Producer
The incidents of his travels were related in a succession of books |{[61,66],NN},{[4,13],VBP},Message-Topic
The focus is going away from the display button |{[4,9],MD},{[41,47],JJ},Entity-Origin
 Asparagus is a natural cure for cancer |{[1,10],JJ},{[33,39],DT},Other
Villagers in the Netherlands are glad to have a mustering of stork visit them|{[61,66],NN},{[48,57],JJ},Member-Collection
A case of craniopharyngioma originating in the sphenoid bone is presented|{[10,27],VBP},{[56,60],NN},Entity-Origin
Early in the book  a seashore tide pool is used as an exquisite metaphor for discovery|{[13,17],NN},{[35,39],MD},Message-Topic
The remaining power is exported to the grid |{[14,19],MD},{[39,43],NN},Entity-Destination
Relieve spinal stenosis by enlarging the spinal canal to relieve pressure on the spinal cord that has been caused by a herniated or bulging disc |{[140,144],NN},{[65,73],NN},Cause-Effect
The sinus rinse went into ear canal |{[4,15],NN},{[26,35],DT},Entity-Destination
In 1882 Louis developed a method of making photographic plates and by 1894 the brothers' factory was producing 15 million plates a year|{[56,62],VBZ},{[89,96],DT},Product-Producer
 Cold air at the surface moved southward into the mountains of Colorado|{[1,9],MD},{[50,59],MD},Entity-Destination
The translucent blue plastic belied the heady resonance of the instrument and like a mission of monkeys  several coworkers were lured into the room by the dulcet tones of my accordion|{[96,103],MD},{[85,92],NN},Member-Collection
Her shallow waters seethe at times standing tall and swaying back and forth like a quiver of king cobras |{[98,104],NN},{[83,89],NN},Member-Collection
The curved roach on a square sail was dependent on the angle or height of the stay immediately below it|{[11,16],VBZ},{[29,33],DT},Component-Whole
Coquina is a poorly consolidated limestone composed of pieces of coral or shells|{[55,61],NN},{[33,42],NN},Component-Whole
The dark heartwood is the source of the brilliant red dye hematoxylin |{[58,69],NN},{[9,18],VBZ},Entity-Origin
The beer acts as a great hair of the dog |{[4,8],NN},{[37,40],NN},Other
The company has run into a financial problem over the last few years|{[4,11],VBP},{[37,44],NN},Other
The curved spans of the bridge are the original sections|{[11,16],VBZ},{[24,30],NN},Component-Whole
A girl plays her violin on a pogo stick |{[2,6],NN},{[34,39],NN},Other
A surgeon carefully applies the splints to the forearm|{[32,39],NN},{[2,9],JJ},Instrument-Agency
The body was inside a duffel bag that was secured with duct tape|{[4,8],NN},{[22,32],JJ},Content-Container
Mado manages to escape and kidnaps the scientist 's niece |{[39,48],NN},{[52,57],NN},Other
A friend had given her purple scraps from a clothing factory in a nearby town|{[44,52],VBP},{[53,60],DT},Product-Producer
 Peanut butter cookies are simply cookies that use peanut butter as one of the ingredients|{[15,22],VBP},{[1,14],VBZ},Entity-Origin
Fall planting cannot be completed before the ground freezes so I stored the seeds in a stratification unit until spring|{[76,81],NN},{[87,106],NN},Entity-Destination
Two years ago I made cranberry sauce to die for|{[31,36],DT},{[21,30],VBP},Entity-Origin
One of the Grand Canyon tour guides has a barren of mules for the tourists to ride down into the Canyon|{[52,57],JJ},{[42,48],DT},Member-Collection
Passengers have rights in the event of a delay or cancellation that has been caused by the airline |{[91,98],JJ},{[50,62],DT},Cause-Effect
The supreme court has applied the protections of this amendment to the states through the Due Process Clause of the Fourteenth Amendment|{[34,45],NN},{[4,17],JJ},Instrument-Agency
The pontiff's body was contained in a plain cypress coffin |{[14,18],NN},{[44,58],VBP},Content-Container
Brief guides have been prepared on maps  school histories electoral rolls land tenure government buildings railways and hotel licensing|{[6,12],NN},{[35,39],DT},Message-Topic
A without notice injunction was obtained at very short notice under which the tenant was excluded from his own home and the block of flats in which he lived|{[78,84],NN},{[111,115],MD},Entity-Origin
The screenplay by Patterson McNutt and Arthur J Beckhard focuses on the adoption of a young orphan Shirley Temple by a wealthy bachelor John Boles|{[92,98],NN},{[127,135],DT},Other
The essay inquires into the origins  nature and usage of the term in multiple contexts|{[4,9],NN},{[28,35],NN},Message-Topic
However Susanoo was in sorrow after the loss of his mother and he was raging in his kingdom|{[40,44],MD},{[23,29],NN},Cause-Effect
But the earthquake triggered by the eruption of Thera struck first|{[36,44],NN},{[8,18],DT},Cause-Effect
Our objective is to review advances in the molecular biology and pharmacogenomics of lung cancer and how they apply to personalizing medicine|{[27,35],NN},{[53,60],NN},Other
This paper is a review of frequency stability measurement techniques and of noise properties of frequency sources|{[5,10],DT},{[58,68],NN},Message-Topic
 Diabetes mellitus is one of the leading causes of irreversible blindness worldwide and in the United States|{[1,18],VBZ},{[64,73],NN},Cause-Effect
The crew assisted with the investigation and was in service for around an hour|{[4,8],VBP},{[27,40],VBP},Other
This data has been concerning primarily assembly operations |{[5,9],DT},{[49,59],NN},Other
The third bid was from a window company that does its own installation|{[10,13],NN},{[32,39],VBP},Product-Producer
Interior chief adds hurdles for drilling on public lands|{[20,27],JJ},{[32,40],NN},Other
When the Amendment was transcribed the semicolon in the religious exemption portion was changed to a comma by the Senate scribe |{[101,106],VBP},{[27,33],NN},Product-Producer
The fibre pellets were blown into cavities using special equipment|{[10,17],NN},{[34,42],DT},Entity-Destination
The winemaker carefully chose grapes from different lots in the vineyards and blended them into this wonderful Pinot|{[30,36],VBZ},{[4,13],NN},Instrument-Agency
The pin of the connector is inserted through the hole and connected to the microstrip circuit|{[4,7],NN},{[15,24],VBP},Component-Whole
It is the most efficient and compact form of insulation in a carafe  and it's unbreakable|{[45,55],VBP},{[61,67],DT},Other
Early in the book  the authors review why the groundswell is taking off and how to participate and they identify the tools - blogs wikis and so on - that drive the groundswell|{[13,17],NN},{[23,30],JJ},Product-Producer
Getting help has reduced the time to reverse all the irritation that had been caused by the fungus |{[92,98],JJ},{[53,63],VBP},Cause-Effect
The pure lotus flower blooms out of the muddy pond |{[15,21],NN},{[46,50],MD},Entity-Origin
The 13th Gate offers 13 themed experiences to make every nightmare seem real from crawling through a crematory oven and an old hearse to being lost in dark underground tunnels or finding yourself standing on a rickety bridge over a bed of live snakes |{[244,250],VBZ},{[232,235],NN},Member-Collection
He was generous enough to bring in a hamper of festive goodies for one of you lot to win|{[55,62],MD},{[37,43],DT},Content-Container
Much of the impetus behind the formation of the fund came from a wounded Vietnam veteran |{[12,19],VBP},{[81,88],NN},Entity-Origin
On the other hand the higher the satisfaction from the purchase  the greater the benefit of word-of-mouth referrals and repeat purchasing|{[55,63],JJ},{[33,45],DT},Cause-Effect
Although big city marathons offer great crowd support and a large camaraderie of runners  running in a big city marathon is not for everyone|{[66,77],DT},{[81,88],JJ},Other
In 48% of the divorces the kinship systems of grandparents expanded with divorce through one or more of the following four processes|{[27,42],NN},{[46,58],VBZ},Other
The restaurant first cleaned the floor with a company-approved cleaning agent before the COF test was conducted|{[72,77],NN},{[4,14],NN},Instrument-Agency
The package includes an audio and video receiver that transmits information to the plasma display|{[40,48],NN},{[4,11],DT},Component-Whole
District Judge without a jury and judgment was entered for the defendants on the ground that the accident was caused by the plaintiff's own negligence |{[140,150],NN},{[97,105],JJ},Cause-Effect
When it was ready my coffee arrived in a mug instead of to go as I had ordered it|{[21,27],VBP},{[41,44],JJ},Content-Container
The world is experiencing an unprecedented glut of savings  driving down real interest rates|{[43,47],NN},{[51,58],DT},Other
In this manner nuts from the Amazon powered a plane |{[15,19],JJ},{[46,51],VBZ},Instrument-Agency
The case centers on a tree at a high school that was a meeting place for white students|{[4,8],DT},{[22,26],NN},Other
The influence of hole shape on extraordinary optical transmission was investigated using hole arrays consisting of rectangular holes with different aspect ratios|{[127,132],MD},{[94,100],NN},Member-Collection
For many years a recurring comment by the senior dental students at Louisiana State University School of Dentistry LSUSD during exit interviews is their lack of confidence regarding the business aspects of running a dental practice|{[27,34],VBP},{[56,64],NN},Product-Producer
 Flowers are carried into the chapel |{[1,8],NN},{[30,36],VBP},Entity-Destination
The documents define policies  procedures training and auditing|{[4,13],MD},{[21,29],IN},Message-Topic
Still filled with rage after the fight with the Darkside I rush at Ansem light and dark energy overflowing from me|{[18,22],DT},{[33,38],NN},Other
The children descend the ladder after hearing the fire alarm which has been triggered by the wood work workshop catching fire |{[50,54],NN},{[55,60],NN},Cause-Effect
The guys catch the shad with gill nets |{[34,38],NN},{[4,8],JJ},Instrument-Agency
As we watched the videotape we noticed that for some unknown reason men were tending to wander over toward the glassware section of the store |{[121,128],NN},{[136,141],NN},Component-Whole
The site has free galleries of pics of guys showing the waistband of their underwear above their jeans|{[56,65],DT},{[75,84],JJ},Component-Whole
The plot centers around a young girl who must decide between helping her community that is being falsely accused of witchcraft or staying silent to protect her family|{[4,8],NN},{[32,36],NN},Message-Topic
A catamaran tiller having a grip is provided to permit tension to be applied to the tiller more easily|{[12,18],NN},{[2,11],DT},Component-Whole
This oil company imports oil to some countries illegally|{[5,8],NN},{[37,46],VBP},Entity-Destination
Sometimes the best blogging is going on well away from the most visible places |{[19,27],NN},{[72,78],VBZ},Other
Some of the nurses drank the alcohol out of jars containing diseased human viscera|{[44,48],DT},{[12,18],JJ},Instrument-Agency
Two broad topics emerging from the literature on fiscal forecasting are reviewed|{[10,16],IN},{[35,45],NN},Entity-Origin
The NRC RSO and the First Bank representative accessed the vault with the key |{[74,77],VBZ},{[31,45],NN},Instrument-Agency
The drill platform was a part of the Romulan mining ship Narada that could be lowered into the atmosphere of a planet or planetoid for mining operations|{[10,18],VBZ},{[52,56],NN},Component-Whole
Eighty years on from the first pipes being laid for the car plant  unemployment is at 2 million and rising|{[56,59],DT},{[60,65],VBZ},Product-Producer
However Greg saw people inside and went to the front entrance of the palace and was able to use enough Russian to communicate with the guide and get permission to buy our tickets without waiting to come inside for a tour|{[53,61],CC},{[69,75],DT},Component-Whole
The clarinet developed from the recorder family  and is closely related to the saxophone|{[4,12],VBP},{[32,47],NN},Entity-Origin
The author 's reasons for creating a work differ remarkably from his incentive to publicly distribute the work|{[37,41],MD},{[4,10],JJ},Product-Producer
The paddle of the microaccelerometer is designed symmetric with respect to the direction of the beam|{[4,10],DT},{[18,36],NN},Component-Whole
Next the soldiers put up a wall of stakes on the pile of dirt|{[27,31],DT},{[9,17],MD},Product-Producer
The hookah filters the smoke through water  making the end result much less harsh and allowing the flavor of the smoke to really come through|{[37,42],DT},{[4,10],MD},Instrument-Agency
Then there's Labour - where negotiations are under way on issues such as apprentice training |{[28,40],NN},{[73,92],NN},Message-Topic
There's a trembling of finches on my lawn|{[23,30],NN},{[10,19],NN},Member-Collection
The incident caused a brief sensation on the Web among people suspicious that it was a political commentary|{[4,12],VBP},{[28,37],NN},Cause-Effect
This is a guide teaches you how to make a video tutorial by recording the computer screen without camera in minutes|{[83,89],NN},{[74,82],VBP},Component-Whole
The navy searched the vessel with the crew on board|{[4,8],DT},{[38,42],VBP},Other
 Poems are published on this site purely for educational reasons for the purpose of information and with good intentions|{[1,6],MD},{[29,33],NN},Component-Whole
A hairdresser fine-tunes your hair color without causing excessive damage by using toners |{[83,89],MD},{[2,13],DT},Instrument-Agency
 Students locate these cities on the large map B2 with assistance from the teacher B14 marking them with colored pushpins |{[113,121],JJ},{[1,9],NN},Instrument-Agency
We've even included a beautiful Royal Scot Crystal Hogget decanter to round off this bountiful banquet in a hamper basket |{[95,102],DT},{[115,121],DT},Content-Container
In addition to Weinstein the band is comprised of a formidable array of luminaries |{[72,82],JJ},{[63,68],NN},Member-Collection
The sugar was in a cabinet above the sink|{[4,9],JJ},{[19,26],DT},Content-Container
He sealed the cut after making a cut of the stem with a clean sharp blade |{[14,17],JJ},{[68,73],NN},Other
The sugar factory in Ipswich was built in 1925|{[4,9],JJ},{[10,17],DT},Product-Producer
The workers locked themselves in the upstairs office and left the shocked managers downstairs in the shop |{[74,82],DT},{[101,105],NN},Other
The recipient receives the call through a miniature radio receiver carried on his person the receiver having a built-in ferritic antenna|{[58,66],NN},{[4,13],NN},Instrument-Agency
He carried with him an old wicker basket containing stale biscuits  some cured ham and a bottle full of goat's milk|{[58,66],NN},{[34,40],DT},Content-Container
Paternally derived genetic material is inherited to the next generation |{[19,35],NN},{[61,71],NN},Entity-Destination
The power cord of the dryer connects to a terminal block at the rear of the dryer|{[4,14],MD},{[22,27],NN},Component-Whole
And this is frequently cited as proof that saturated fats and cholesterol cause heart disease |{[62,73],VBP},{[86,93],NN},Cause-Effect
As a fraternity of adults we have a right to question the GM and should expect a reasonable response|{[19,25],NN},{[5,15],VBZ},Member-Collection
It was an immense flight of gulls  seamews and cormorants; a vast multitude of affrighted sea birds|{[28,33],JJ},{[18,24],NN},Member-Collection
The exhibition comprises original drawings featuring famous landmarks between Plymouth and London|{[34,42],VBZ},{[60,69],DT},Message-Topic
The Water Information Program is a public information program sponsored by the water districts  organizations and agencies in the San Juan and Dolores watersheds of Southwestern Colorado|{[54,61],NN},{[85,94],NN},Other
While the job was good Ahmed's daily exposure to the troupe of circus performers and artists continued to pique his interest|{[70,80],NN},{[53,59],NN},Member-Collection
Scientists recently succeeded in wiping out a nasty memory from the mind of a genetically-engineered mouse |{[52,58],NN},{[101,106],MD},Other
 Cigarettes are used by women in order to relax to avoid gaining weight and to appear attractive mature and feminine|{[1,11],NN},{[24,29],MD},Instrument-Agency
Many commercial soap shower gel or cleanser products contain preservatives  colorants and chemicals that cause dryness rashes itchiness and roughness on the skin|{[61,74],NN},{[126,135],VBP},Cause-Effect
Bitewing x-rays are used by dentists in order to determine if any cavities exist within the mouth|{[9,15],:},{[28,36],NN},Instrument-Agency
English cricket has now been dragged into the whole revolting business |{[8,15],NN},{[62,70],JJ},Entity-Destination
The space monkey travels into space |{[4,16],VBZ},{[4,9],VBZ},Entity-Destination
Any country gentleman who liked the sport kept a small pack of hounds  and rode over his own lands or the lands of such of his neighbours as had no similar establishments of their own|{[63,69],MD},{[55,59],DT},Member-Collection
The plain HTTP request was sent to an HTTPS port |{[15,22],NN},{[44,48],MD},Entity-Destination
The girl  in her first holiday season as an Elm Creek Quilter creates a quilt for her best friend even as she begins to question her feelings for him|{[72,77],NN},{[4,8],NN},Product-Producer
The small box was placed inside the large box and the 4-inch of surrounding space filled with either shredded fabric fiberglass insulation or no insulation|{[10,13],NN},{[10,13],NN},Entity-Destination
Birchwood and Stockton Heath were called to the scene after pyrotechnics used during one of the performances caused a fire on the main stage|{[60,72],NN},{[118,122],NN},Cause-Effect
Like a catch-22 the worst part is that acne causes stress and stress triggers acne breakouts |{[51,57],NN},{[83,92],NN},Cause-Effect
The US patent system is in a crisis that has been caused by the flood of patent applications being filed at the USPTO every year|{[64,69],NN},{[29,35],NN},Cause-Effect
And in every single trial the sponsoring manufacturer 's drug came out as better than or equal to the others in the trial|{[57,61],NN},{[41,53],DT},Product-Producer
The size of the scissors used by a beginning stylist for learning to cut the hair is actually determined more by the size of his or her hands|{[16,24],NN},{[45,52],NN},Instrument-Agency
My little brother's tooth was in a cup of water the other day and I nearly fainted when I saw it|{[20,25],MD},{[35,38],JJ},Content-Container
Located by the river at Circular Road Cong between actual locations used for the filming the ground floor of the cottage has been designed as an exact replica of 'White-o-Mornin' Cottage|{[100,105],NN},{[113,120],VBP},Component-Whole
Day after day then he has put himself into a hornets' nest or what the Scottish call a bike of bees |{[95,99],NN},{[87,91],NN},Member-Collection
As his hand was put inside the glass box  he had to guess what creepy animal was inside|{[7,11],DT},{[37,40],NN},Entity-Destination
While many farmers did their plowing the land with a single furrow plow  some large-scale farmers began to use a multiple share or bukker plow|{[29,36],NN},{[29,33],NN},Other
Letters were be submitted by 5 pm on the Wednesday before publication by mail |{[58,69],NN},{[73,77],DT},Other
My passport was in a trunk under my bed|{[3,11],DT},{[21,26],NN},Content-Container
Viral gastroenteritis is a highly contagious infection of the intestines caused by one of several viruses |{[98,105],NN},{[45,54],VBP},Cause-Effect
Recently a huge amount of commercial fish and shellfish have migrated to cooler water |{[37,41],NN},{[80,85],DT},Entity-Destination
The murder has dragged the victim into the water |{[27,33],NN},{[43,48],DT},Entity-Destination
The first bank in Loudoun County the short-lived Loudoun Company held meetings in the cellar of this dwelling beginning around 1815 hence the name Bank House|{[86,92],VBP},{[101,109],NN},Component-Whole
The outer segment is comprised of a membrane which is folded into several layers of disks|{[10,17],NN},{[36,44],NN},Other
In this section we are going to follow SRR Sandy as she raises a litter of pups |{[75,79],JJ},{[65,71],NN},Member-Collection
The shed got put up by these people who arrived and made it|{[4,8],NN},{[29,35],NN},Product-Producer
The session discussed about inter-loans of performance sets|{[4,11],NN},{[28,39],VBP},Message-Topic
Diet fizzy drinks and meat cause heart disease and diabetes |{[11,17],NN},{[51,59],VBZ},Cause-Effect
We explore the experience of grief after the loss of a parent and offers support; we also make simple suggestions and we provide a place for sharing memories|{[45,49],MD},{[29,34],NN},Cause-Effect
Too often students were misplaced into alternative schools |{[10,18],NN},{[51,58],NN},Entity-Destination
A deceit of lapwings  with their beautiful crests made a pretty dish to set before the king|{[12,20],DT},{[2,8],NN},Member-Collection
The war mentality was generated by the Iraq war in combination with the constant drum beat of fear at home|{[4,7],DT},{[8,17],NN},Cause-Effect
The authors assessed the reliability of the basic diagnostic methods in series of 181 patients with bladder tumoursas compared with operative findings|{[72,78],NN},{[4,11],JJ},Instrument-Agency
The painting represents the last meal shared by Jesus with his disciples before his capture and death|{[4,12],DT},{[33,37],VBZ},Message-Topic
Two pillars of a bridge at Karsaz Road have collapsed today morning|{[4,11],NN},{[17,23],NN},Component-Whole
All other blood products are derived from whole blood|{[16,24],NN},{[10,15],NN},Entity-Origin
 Preeclampsia is still one of the leading causes of maternal mortality |{[1,13],NN},{[61,70],MD},Cause-Effect
Since no computers were then available to him he hand-simulated the Boxes algorithm using a device made from an assembly of matchboxes |{[92,98],NN},{[124,134],DT},Other
Compared to running barefoot running in conventional running shoes increases stress on the knee joints up to 38%|{[12,19],JJ},{[61,66],NN},Other
The packet of corn tortillas which was inside a box  said contains wheat|{[4,10],DT},{[48,51],NN},Content-Container
Detectives are sifting through hundreds of mobile telephone records in an effort to trace a call made by the Graff jewellery robbers as they stood outside the store two days before the successful heist|{[92,96],DT},{[125,132],NN},Product-Producer
Two years ago being a sugar company in india was a sweet proposition|{[22,27],JJ},{[28,35],VBP},Product-Producer
The demolition was the cause of terror and communal divide is just a way of not letting truth prevail|{[4,14],NN},{[32,38],NN},Cause-Effect
Two prices arrived to the hotel |{[4,10],NN},{[26,31],MD},Entity-Destination
A 300-pound Siberian tiger that killed a visitor escaped from its high-walled pen on its own|{[21,26],NN},{[78,81],NN},Entity-Origin
A comb was hidden in an envelope at the bottom of a paper folder stuck to the wall|{[2,6],VBP},{[24,32],CC},Content-Container
This machine has two heating units and two cooling units|{[29,34],NN},{[5,12],DT},Component-Whole
The tailpiece anchors the strings to the lower bout of the violin by means of the tailgut|{[47,51],NN},{[59,65],NN},Component-Whole
Recently in China more people are moving into big cities |{[23,29],NN},{[50,56],NN},Entity-Destination
An overdose of lime juice with salt also acts as an excellent purgative without any side effects thereby giving relief in constipation|{[20,25],NN},{[15,19],NN},Entity-Origin
The outbreak resulted in 256 deaths and 3402 injuries |{[4,12],JJ},{[45,53],VBP},Cause-Effect
In my case the solution was to lock the padlock on the security pane itself|{[40,47],DT},{[64,68],DT},Component-Whole
To develop a rampart troops piled up the dirt into a small hill |{[59,63],NN},{[21,27],NN},Product-Producer
The fridge was inside a mahogany case |{[4,10],NN},{[24,37],DT},Content-Container
The postcard took the reader into the author's past |{[22,28],VBZ},{[47,51],DT},Other
The White Paper Full Employment in Australia was the defining document of economic policy in Australia for the 30 years between 1945 and 1975|{[62,70],MD},{[74,89],NNS},Message-Topic
These emotionally wrenching experiences encouraged the volunteers to seek the comradeship of fellow veterans |{[78,89],VBP},{[100,108],NN},Other
Gwathmey famously prefers curves to angularity and though these are absent from the facade they recur in the lobby of the building  with rounded pylons and legato movements through space|{[109,114],NN},{[122,130],NN},Component-Whole
The priest mixes the Holy Oil and the wine with a spoon and pours it into small containers as many as there be priests|{[50,55],NN},{[4,10],NN},Instrument-Agency
The Senator donated money to a local charity |{[20,25],MD},{[37,44],VBP},Entity-Destination
This bag was in a bin with other santa bags out of package|{[5,8],DT},{[18,21],NN},Content-Container
The freshness of ale in a carton is the limiting factor|{[17,20],NN},{[26,32],DT},Content-Container
The statute applied to the six dominions which existed in 1931|{[4,11],VBZ},{[31,40],IN},Message-Topic
Clay County a small but thriving colony grows in the seepage spring which is the source of the creek |{[61,67],NN},{[95,100],VBP},Other
New portable electronic devices are running into temperature sensitivity issues |{[24,31],NN},{[73,79],VBP},Other
It is a cable television specialty channel showing sports and sport-related shows|{[35,42],VBP},{[51,57],NN},Message-Topic
While melting butter on the stove is the preferred method  because it gives you more control over the process you can also melt butter in a microwave|{[28,33],NN},{[51,57],NN},Other
Sip the tea slowly to reduce stomach pain from indigestion  bloating and feeling of fullness|{[47,58],VBP},{[37,41],DT},Cause-Effect
The teacher covers the candle with a tall glass |{[42,47],VBZ},{[4,11],VBZ},Instrument-Agency
 Alcohol  substance abuse and poverty all lead to child abuse |{[1,8],NN},{[50,61],NN},Cause-Effect
The ATM malfunction caused a rush on the ATM machine until the police sealed off the area|{[8,19],DT},{[29,33],JJ},Cause-Effect
 Physiotherapy was focused on admission avoidance  prevention of deterioration after admission and facilitating early discharge|{[1,14],NN},{[30,49],JJ},Other
Moreover the knightly ethic was based on a sense of honour and reflected the ideal of a comradeship of arms |{[88,99],VBP},{[103,107],NN},Other
The photomask is usually prepared with a photoplotter from data produced by a technician using CAM or computer-aided manufacturing software|{[59,63],DT},{[78,88],NN},Product-Producer
Actually on the strength of matrimonial alliances of the Bhargavas with ruling families of Kanyakubja and Ayoddhya Parasurama organised a confederacy of various kingdoms including Vaisali Videha Kasi Kanyakubja and Ayodhya which fought the Haihayas on various batterfields|{[161,169],NN},{[138,149],VBP},Member-Collection
He painstakingly taught the chords to the young troubadour 's anti-establishment broadsides |{[81,91],NN},{[48,58],NN},Product-Producer
Narcotic goods have been imported into several states in Australia|{[9,14],MD},{[47,53],VBZ},Entity-Destination
Another program to increase the population of French settlers was the selection of 770 women to make the journey to New France|{[53,61],NN},{[32,42],MD},Member-Collection
This oven has a flat belt conveyor with three zones and complete controls|{[26,34],VBP},{[5,9],NN},Component-Whole
All psychiatrists are familiar with antipsychotic anti-anxiety and antidepressant medications  whose origins date to the 1950s|{[82,93],NN},{[4,17],NN},Instrument-Agency
Some sections have been denoted with an asterisk |{[5,13],NN},{[40,48],JJ},Other
The assigned cashier code serves to identify the cashier using the electronic cash register |{[83,91],NN},{[13,20],DT},Instrument-Agency
The report emphasised the need for better co-ordination between the agencies|{[4,10],NN},{[26,30],NN},Message-Topic
The corpse of a murderer was dangling from the noose  twisting in the wind|{[4,10],VBP},{[47,52],NN},Other
 Sodium causes fluid retention  which can lead to edema swelling increased blood pressure and in those susceptible patients congestive heart failure|{[1,7],MD},{[21,30],NN},Cause-Effect
In theory boards of independent directors look after the interests of individual shareholders|{[32,41],NN},{[10,16],VBZ},Member-Collection
For the last two years the team has constructed two gardens out of recycled materials|{[52,59],DT},{[27,31],VBZ},Product-Producer
The pouches of female wallabies  like those of other macropods are front-opening|{[4,11],MD},{[22,31],DT},Component-Whole
In 1858 a shoemaker invented a machine for sewing the soles of shoes to the uppers|{[31,38],DT},{[10,19],NN},Product-Producer
A gam of whales migrates to breeding lagoons every season|{[9,15],VBZ},{[2,5],DT},Member-Collection
He takes words into action |{[9,14],MD},{[20,26],JJ},Other
The sample was contained in a 5-mm glass tube surrounded by oscillator and receiver coils at right angles to one another|{[4,10],DT},{[35,45],VBZ},Content-Container
I'm about to delve into Buchholz's pitch F/X and pitch data to try to find some sort of answer here using guidelines from Allen's article plus Buchholz's run values as shown here|{[106,116],NN},{[130,137],NN},Entity-Origin
In businesses generally the third party claims for the damages that has been caused by the company vehicle |{[99,106],NN},{[55,62],DT},Cause-Effect
The freeze-dried dura mater was placed into warm sterile saline for 20 minutes before grafting|{[22,27],DT},{[57,63],DT},Entity-Destination
These text messages are sent to the outer space |{[6,19],NN},{[36,47],JJ},Entity-Destination
Stanford researchers have coated paper with carbon nanotubes and silver nanowires to serve as electricity storage devices|{[33,38],DT},{[9,20],NN},Instrument-Agency
Unfortunately Cleo the stuffed dog was in a trunk that was stolen back in 1975|{[23,34],NN},{[44,49],NN},Content-Container
The martyrs conquered the fears associated with persecution and always remained loyal to the Lord|{[4,11],DT},{[48,59],NN},Other
Here is a picture of the artist taking a photograph of a young girl in front of a vegetable stand on Mulberry Street in New York City|{[41,51],NN},{[25,31],NN},Product-Producer
The therapist treats the patient with a certain kind of manual therapy |{[63,70],NN},{[4,13],NN},Instrument-Agency
The program assists separating families in high conflict over parenting arrangements|{[4,11],NN},{[31,39],DT},Instrument-Agency
This document is part of the WHO information series on school health|{[5,13],MD},{[45,51],NN},Component-Whole
Two deers ran into cars |{[4,9],NN},{[19,23],DT},Entity-Destination
We got a ball with catnip inside|{[19,25],DT},{[9,13],DT},Component-Whole
Secretary Tim Geithner came along with a fistful of taxpayer dollars |{[41,48],NN},{[61,68],MD},Other
This is due to a unique design that filters the dirt through the bag and not the blower fan|{[65,68],DT},{[24,30],NN},Component-Whole
The law established a major redistribution of territorial sovereignty within the Empire|{[4,7],DT},{[28,42],NN},Cause-Effect
Infectious mononucleosis due to the Epstein-Barr virus causes exudative tonsillitis or pharyngitis in about one-half of cases|{[49,54],NN},{[72,83],MD},Cause-Effect
Accidentally the electricity flew into the water on the ground|{[17,28],NN},{[43,48],DT},Entity-Destination
The lead serves both as an introduction to the article and as a summary of the important aspects of the subject of the article|{[64,71],JJ},{[89,96],JJ},Message-Topic
The device shown in the figure rotates|{[24,30],NN},{[4,10],NN},Message-Topic
The symposium was attended by a constellation of artists and writers|{[49,56],NN},{[32,45],VBP},Member-Collection
During the trial the prosecution presented pictures of burning bodies and human remains as well as images of the explosion triggered by the Pentagon crash |{[149,154],VBP},{[113,122],NNP},Cause-Effect
These days with a decent income landing in my bank account from writing and the beginnings of some success as a fiction writer  I feel I have enough of the trappings to unashamedly admit to being a writer|{[112,119],NN},{[120,126],NN},Product-Producer
The academic staff at the UvH comprises scholars in humanistics religious and cultural scholars social scientists philosophers and historians|{[114,126],NN},{[13,18],VBZ},Member-Collection
Extensive damage at the mine has been caused by the strikers |{[52,60],NN},{[10,16],DT},Cause-Effect
The artist's installation studies the relationships between man and nature|{[13,25],VBP},{[38,51],NN},Message-Topic
The sail had an important roach and had adjustable batten fittings on the leech and luff receptacles|{[26,31],VBZ},{[4,8],DT},Component-Whole
Next was a stop at Christien Meindertsma's gorgeous knitting exhibition where she and an assistant knit a giant really thick woolen rug using six-foot-long needles|{[132,135],JJ},{[89,98],JJ},Product-Producer
